timestamp,namespace,pod,cpu_millicores,mem_bytes
2026-09-16T14:36:12.329220+00:00,kube-system,local-path-provisioner-5d9d9885bc-ddln7,1.0,15728640
2026-09-16T14:36:12.329220+00:00,kube-system,metrics-server-786d997795-cxp55,17.0,31457280
2026-09-16T14:36:12.329220+00:00,kube-system,svclb-traefik-cf82b3cd-hd56k,0.0,0
2026-09-16T14:36:12.329220+00:00,kube-system,traefik-9bcdbbd9-pdd86,32.0,35651584
2026-09-16T14:36:12.329220+00:00,pyroscope,pyroscope-0,3.0,28311552
2026-09-16T14:36:12.329220+00:00,pyroscope,pyroscope-alloy-0,4.0,67108864
2026-09-16T14:36:18.570297+00:00,grove-system,grove-operator-5d8746f45-fkj4k,2.0,29360128
2026-09-16T14:36:18.570297+00:00,kai-scheduler,admission-86666f457d-449j8,1.0,14680064
2026-09-16T14:36:18.570297+00:00,kai-scheduler,binder-869fc94c7-vmk65,14.0,23068672
2026-09-16T14:36:18.570297+00:00,kai-scheduler,kai-operator-69b5d7bcf7-72px4,3.0,55574528
2026-09-16T14:36:18.570297+00:00,kai-scheduler,kai-scheduler-default-5cd4694576-q422p,13.0,44040192
2026-09-16T14:36:18.570297+00:00,kai-scheduler,pod-grouper-65456f756-gxfnl,1.0,11534336
2026-09-16T14:36:18.570297+00:00,kai-scheduler,podgroup-controller-68f9cc8dbf-mq2sk,1.0,11534336
2026-09-16T14:36:18.570297+00:00,kai-scheduler,queue-controller-f86fcd76c-2z76k,1.0,13631488
2026-09-16T14:36:18.570297+00:00,kube-system,coredns-8db54c48d-xwg8k,3.0,22020096
2026-09-16T14:36:18.570297+00:00,kube-system,kwok-controller-5cf8c7c44b-bbjsw,41.0,22020096
2026-09-16T14:36:18.570297+00:00,kube-system,local-path-provisioner-5d9d9885bc-ddln7,1.0,15728640
2026-09-16T14:36:18.570297+00:00,kube-system,metrics-server-75dc6f8d87-k8h7b,48.0,27262976
2026-09-16T14:36:18.570297+00:00,kube-system,metrics-server-786d997795-cxp55,10.0,31457280
2026-09-16T14:36:18.570297+00:00,kube-system,svclb-traefik-cf82b3cd-hd56k,0.0,0
2026-09-16T14:36:18.570297+00:00,kube-system,traefik-9bcdbbd9-pdd86,1.0,34603008
2026-09-16T14:36:18.570297+00:00,pyroscope,pyroscope-0,5.0,33554432
2026-09-16T14:36:18.570297+00:00,pyroscope,pyroscope-alloy-0,8.0,76546048
2026-09-16T14:36:24.800109+00:00,grove-system,grove-operator-5d8746f45-fkj4k,2.0,29360128
2026-09-16T14:36:24.800109+00:00,kai-scheduler,admission-86666f457d-449j8,1.0,14680064
2026-09-16T14:36:24.800109+00:00,kai-scheduler,binder-869fc94c7-vmk65,14.0,23068672
2026-09-16T14:36:24.800109+00:00,kai-scheduler,kai-operator-69b5d7bcf7-72px4,3.0,55574528
2026-09-16T14:36:24.800109+00:00,kai-scheduler,kai-scheduler-default-5cd4694576-q422p,13.0,44040192
2026-09-16T14:36:24.800109+00:00,kai-scheduler,pod-grouper-65456f756-gxfnl,1.0,11534336
2026-09-16T14:36:24.800109+00:00,kai-scheduler,podgroup-controller-68f9cc8dbf-mq2sk,1.0,11534336
2026-09-16T14:36:24.800109+00:00,kai-scheduler,queue-controller-f86fcd76c-2z76k,1.0,13631488
2026-09-16T14:36:24.800109+00:00,kube-system,coredns-8db54c48d-xwg8k,3.0,22020096
2026-09-16T14:36:24.800109+00:00,kube-system,kwok-controller-5cf8c7c44b-bbjsw,41.0,22020096
2026-09-16T14:36:24.800109+00:00,kube-system,local-path-provisioner-5d9d9885bc-ddln7,1.0,15728640
2026-09-16T14:36:24.800109+00:00,kube-system,metrics-server-75dc6f8d87-k8h7b,48.0,27262976
2026-09-16T14:36:24.800109+00:00,kube-system,metrics-server-786d997795-cxp55,10.0,31457280
2026-09-16T14:36:24.800109+00:00,kube-system,svclb-traefik-cf82b3cd-hd56k,0.0,0
2026-09-16T14:36:24.800109+00:00,kube-system,traefik-9bcdbbd9-pdd86,1.0,34603008
2026-09-16T14:36:24.800109+00:00,pyroscope,pyroscope-0,5.0,33554432
2026-09-16T14:36:24.800109+00:00,pyroscope,pyroscope-alloy-0,8.0,76546048
2026-09-16T14:36:31.039061+00:00,grove-system,grove-operator-5d8746f45-fkj4k,3.0,30408704
2026-09-16T14:36:31.039061+00:00,kai-scheduler,admission-86666f457d-449j8,1.0,14680064
2026-09-16T14:36:31.039061+00:00,kai-scheduler,binder-869fc94c7-vmk65,14.0,23068672
2026-09-16T14:36:31.039061+00:00,kai-scheduler,kai-operator-69b5d7bcf7-72px4,3.0,55574528
2026-09-16T14:36:31.039061+00:00,kai-scheduler,kai-scheduler-default-5cd4694576-q422p,13.0,44040192
2026-09-16T14:36:31.039061+00:00,kai-scheduler,queue-controller-f86fcd76c-2z76k,1.0,13631488
2026-09-16T14:36:31.039061+00:00,kube-system,coredns-8db54c48d-xwg8k,3.0,22020096
2026-09-16T14:36:31.039061+00:00,kube-system,kwok-controller-5cf8c7c44b-bbjsw,9.0,20971520
2026-09-16T14:36:31.039061+00:00,kube-system,metrics-server-75dc6f8d87-k8h7b,4.0,27262976
2026-09-16T14:36:31.039061+00:00,kube-system,traefik-9bcdbbd9-pdd86,1.0,34603008
2026-09-16T14:36:31.039061+00:00,pyroscope,pyroscope-0,5.0,33554432
2026-09-16T14:36:31.039061+00:00,pyroscope,pyroscope-alloy-0,8.0,76546048
2026-09-16T14:36:37.279261+00:00,grove-system,grove-operator-5d8746f45-fkj4k,21.0,46137344
2026-09-16T14:36:37.279261+00:00,kai-scheduler,admission-86666f457d-449j8,1.0,14680064
